Position,PlayerName,Team,Opponent,Salary,PPG
FLEX,Brandon Pettigrew,Lions,Bears,5000,2.3
TE,Tony Scheffler,Lions,Bears,5800,1.2
FLEX,Tony Scheffler,Lions,Bears,5800,1.2
TE,Dallas Clark,Ravens,Bills,6000,8.7
FLEX,Dallas Clark,Ravens,Bills,6000,8.7
TE,Brandon Myers,Giants,Chiefs,8400,13.1
FLEX,Brandon Myers,Giants,Chiefs,8400,13.1
TE,Charles Clay,Dolphins,Saints,6800,13.5
FLEX,Charles Clay,Dolphins,Saints,6800,13.5
TE,Anthony Fasano,Chiefs,Giants,5250,3.7
FLEX,Anthony Fasano,Chiefs,Giants,5250,3.7
TE,Kyle Rudolph,Vikings,Steelers,7750,8.6
FLEX,Kyle Rudolph,Vikings,Steelers,7750,8.6
TE,Jimmy Graham,Saints,Dolphins,17600,27.6
FLEX,Jimmy Graham,Saints,Dolphins,17600,27.6
TE,Brent Celek,Eagles,Broncos,5350,5.8
FLEX,Brent Celek,Eagles,Broncos,5350,5.8
TE,Clay Harbor,Jaguars,Colts,5900,4.6
FLEX,Clay Harbor,Jaguars,Colts,5900,4.6
TE,Jim Dray,Cardinals,Buccaneers,5750,6.1
FLEX,Jim Dray,Cardinals,Buccaneers,5750,6.1
TE,Rob Housler,Cardinals,Buccaneers,6500,2.3
FLEX,Rob Housler,Cardinals,Buccaneers,6500,2.3
TE,David Johnson,Steelers,Vikings,5000,3.1
FLEX,David Johnson,Steelers,Vikings,5000,3.1
TE,Heath Miller,Steelers,Vikings,7350,6.5
FLEX,Heath Miller,Steelers,Vikings,7350,6.5
TE,Antonio Gates,Chargers,Cowboys,9300,13.9
FLEX,Antonio Gates,Chargers,Cowboys,9300,13.9
TE,Delanie Walker,Titans,Jets,6450,8.3
FLEX,Delanie Walker,Titans,Jets,6450,8.3
TE,Zach Miller,Seahawks,Texans,7050,8.6
FLEX,Zach Miller,Seahawks,Texans,7050,8.6
TE,Fred Davis,Redskins,Raiders,6550,2.8
FLEX,Fred Davis,Redskins,Raiders,6550,2.8
TE,Logan Paulsen,Redskins,Raiders,5000,4.1
FLEX,Logan Paulsen,Redskins,Raiders,5000,4.1
TE,Marcedes Lewis,Jaguars,Colts,5400,0.0
FLEX,Marcedes Lewis,Jaguars,Colts,5400,0.0
TE,Ed Dickson,Ravens,Bills,6600,1.1
FLEX,Ed Dickson,Ravens,Bills,6600,1.1
TE,Owen Daniels,Texans,Seahawks,8300,14.0
FLEX,Owen Daniels,Texans,Seahawks,8300,14.0
TE,Garrett Graham,Texans,Seahawks,5800,12.3
FLEX,Garrett Graham,Texans,Seahawks,5800,12.3
TE,Coby Fleener,Colts,Jaguars,7250,7.3
FLEX,Coby Fleener,Colts,Jaguars,7250,7.3
TE,Dwayne Allen,Colts,Jaguars,6700,9.0
FLEX,Dwayne Allen,Colts,Jaguars,6700,9.0
TE,David Paulson,Steelers,Vikings,5000,3.8
FLEX,David Paulson,Steelers,Vikings,5000,3.8
TE,Sean McGrath,Chiefs,Giants,5750,6.1
FLEX,Sean McGrath,Chiefs,Giants,5750,6.1
TE,Zach Ertz,Eagles,Broncos,5350,3.8
FLEX,Zach Ertz,Eagles,Broncos,5350,3.8
TE,Tyler Eifert,Bengals,Browns,6800,7.0
FLEX,Tyler Eifert,Bengals,Browns,6800,7.0
TE,Jordan Reed,Redskins,Raiders,6600,9.9
FLEX,Jordan Reed,Redskins,Raiders,6600,9.9
TE,Mychal Rivera,Raiders,Redskins,5600,5.0
FLEX,Mychal Rivera,Raiders,Redskins,5600,5.0
TE,Joseph Fauria,Lions,Bears,5000,9.6
FLEX,Joseph Fauria,Lions,Bears,5000,9.6
TE,Zach Sudfeld,Patriots,Falcons,5000,0.0
