gsis_id	name	position	games_played	avg_points	stddev_points
00-0027950	Christian Ponder	QB	28	13.602143	8.472747
00-0027725	Clay Harbor	TE	22	4.109091	4.258885
00-0028049	Clyde Gates	WR	21	2.219048	3.657428
00-0029697	Coby Fleener	TE	12	5.650000	3.816084
00-0029000	Cole Beasley	WR	7	3.971429	4.081566
00-0026669	Colin Cloherty	TE	4	2.425000	1.991702
00-0028550	Colin Cochart	TE	4	3.850000	2.905598
00-0027974	Colin Kaepernick	QB	16	14.496250	11.244550
00-0028876	Collin Mooney	RB	1	1.900000	0.000000
00-0027688	Colt McCoy	QB	15	13.312000	5.808503
00-0026138	Connor Barth	K	31	0.000000	0.000000
00-0030578	Cordarrelle Patterson	WR	1	2.000000	0.000000
00-0028958	Cory Harkey	TE	1	3.100000	0.000000
00-0023503	Courtney Roby	WR	1	1.900000	0.000000
00-0026225	Craig Stevens	TE	23	3.830435	2.787462
00-0026745	Curtis Brinkley	RB	14	4.171429	4.958028
00-0027134	Curtis Painter	QB	9	9.371111	8.673439
00-0029298	Cyrus Gray	RB	5	2.120000	1.144378
00-0024559	D.J. Ware	RB	28	3.192857	3.171404
00-0028079	D.J. Williams	TE	8	2.000000	1.636307
00-0028159	Da'Rel Scott	RB	9	1.800000	3.952777
00-0022165	Dallas Clark	TE	25	8.376000	4.976849
00-0029435	Damaris Johnson	WR	15	3.186667	3.102014
00-0027893	Damian Williams	WR	29	6.858621	5.262523
00-0028660	Dan Bailey	K	33	0.000000	0.000000
00-0026003	Dan Carpenter	K	29	0.000000	0.000000
00-0029588	Dan Herron	RB	2	0.250000	0.550000
00-0023578	Dan Orlovsky	QB	9	8.064444	7.380833
00-0027912	Danario Alexander	WR	18	12.550000	8.340147
